Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",86.741000,-71.882000,180.000000,top
"C2","0.1uF","C_0603_1608Metric",161.417000,-104.267000,180.000000,top
"C3","0.1uF","C_0603_1608Metric",173.863000,-104.140000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",173.863000,-105.791000,0.000000,top
"C5","4.7uF","C_0603_1608Metric",86.741000,-64.516000,180.000000,top
"C6","3.3nF","C_0603_1608Metric",127.127000,-85.979000,180.000000,top
"C7","2.2uF","C_0603_1608Metric",52.578000,-74.930000,90.000000,top
"C8","2.2uF","C_0603_1608Metric",90.678000,-88.392000,90.000000,top
"C9","2.2uF","C_0603_1608Metric",135.001000,-133.604000,90.000000,top
"C10","0.1uF","C_0603_1608Metric",71.120000,-106.172000,90.000000,top
"C11","0.1uF","C_0603_1608Metric",121.793000,-83.947000,180.000000,top
"C12","0.1uF","C_0603_1608Metric",97.663000,-68.707000,180.000000,top
"C13","0.1uF","C_0603_1608Metric",144.653000,-79.375000,270.000000,top
"C14","0.1uF","C_0603_1608Metric",120.904000,-69.088000,180.000000,top
"C15","0.1uF","C_0603_1608Metric",97.155000,-83.058000,180.000000,top
"C16","0.1uF","C_0603_1608Metric",133.604000,-77.724000,0.000000,top
"C17","0.1uF","C_0603_1608Metric",146.177000,-66.167000,90.000000,top
"C18","0.1uF","C_0603_1608Metric",109.601000,-66.167000,0.000000,top
"C19","0.1uF","C_0603_1608Metric",133.731000,-66.548000,0.000000,top
"C20","0.1uF","C_0603_1608Metric",146.558000,-79.375000,270.000000,top
"C21","0.1uF","C_0603_1608Metric",109.474000,-80.518000,0.000000,top
"C22","1uF","C_0603_1608Metric",71.501000,-59.309000,0.000000,top
"C23","1uF","C_0603_1608Metric",76.962000,-59.309000,180.000000,top
"C24","0.1uF","C_0603_1608Metric",65.024000,-59.182000,0.000000,top
"C25","56nF","C_0603_1608Metric",144.272000,-114.681000,180.000000,top
"C26","56nF","C_0603_1608Metric",142.240000,-123.063000,270.000000,top
"C27","56nF","C_0603_1608Metric",157.099000,-123.825000,0.000000,top
"C28","56nF","C_0603_1608Metric",157.099000,-114.173000,0.000000,top
"C29","10nF","C_0603_1608Metric",167.386000,-96.266000,180.000000,top
"C30","12nF","C_0603_1608Metric",106.553000,-118.110000,180.000000,top
"C31","0.1uF","C_0603_1608Metric",160.782000,-68.580000,180.000000,top
"C32","0.1uF","C_0603_1608Metric",161.163000,-93.599000,180.000000,top
"C33","0.1uF","C_0603_1608Metric",144.272000,-118.491000,180.000000,top
"C34","0.1uF","C_0603_1608Metric",144.907000,-106.299000,180.000000,top
"C35","0.1uF","C_0603_1608Metric",174.117000,-68.326000,0.000000,top
"C36","0.1uF","C_0603_1608Metric",161.036000,-82.931000,180.000000,top
"C37","0.1uF","C_0603_1608Metric",157.099000,-118.110000,0.000000,top
"C38","0.1uF","C_0603_1608Metric",156.337000,-101.600000,90.000000,top
"C39","0.1uF","C_0603_1608Metric",134.874000,-94.107000,180.000000,top
"C40","0.1uF","C_0603_1608Metric",174.117000,-70.231000,0.000000,top
"C41","0.1uF","C_0603_1608Metric",157.099000,-119.761000,0.000000,top
"C42","0.1uF","C_0603_1608Metric",119.253000,-106.172000,180.000000,top
"C43","0.1uF","C_0603_1608Metric",174.117000,-91.059000,0.000000,top
"C44","0.1uF","C_0603_1608Metric",100.457000,-113.792000,180.000000,top
"C45","0.1uF","C_0603_1608Metric",174.244000,-80.391000,0.000000,top
"C46","0.1uF","C_0603_1608Metric",88.646000,-106.426000,90.000000,top
"C47","0.1uF","C_0603_1608Metric",76.708000,-73.533000,0.000000,top
"C48","0.1uF","C_0603_1608Metric",131.445000,-103.632000,0.000000,top
"C50","0.1uF","C_0603_1608Metric",147.828000,-91.567000,0.000000,top
"C52","0.1uF","C_0603_1608Metric",112.903000,-111.252000,0.000000,top
"C53","0.1uF","C_0603_1608Metric",118.999000,-118.491000,180.000000,top
"C54","0.1uF","C_0603_1608Metric",131.204000,-118.364000,0.000000,top
"C55","0.1uF","C_0603_1608Metric",131.191000,-120.142000,0.000000,top
"D1","BAS07-04","SOT-23",116.586000,-93.980000,270.000000,top
"D2","BAS07-04","SOT-23",101.981000,-96.647000,270.000000,top
"R1","12k","R_0603_1608Metric",120.269000,-76.835000,180.000000,top
"R2","12k","R_0603_1608Metric",120.269000,-78.994000,180.000000,top
"R3","20k","R_0603_1608Metric",120.269000,-81.153000,0.000000,top
"R4","100k","R_0603_1608Metric",97.663000,-66.167000,180.000000,top
"R5","20k","R_0603_1608Metric",127.127000,-83.820000,180.000000,top
"R6","20k","R_0603_1608Metric",103.759000,-71.755000,180.000000,top
"R7","10k","R_0603_1608Metric",120.904000,-66.548000,180.000000,top
"R8","20k","R_0603_1608Metric",97.155000,-80.518000,180.000000,top
"R9","10k","R_0603_1608Metric",148.717000,-66.167000,90.000000,top
"R10","20k","R_0603_1608Metric",143.637000,-66.040000,90.000000,top
"R11","50k","R_0603_1608Metric",142.367000,-79.375000,270.000000,top
"R12","100k","R_0603_1608Metric",148.717000,-79.375000,270.000000,top
"R13","20k","R_0603_1608Metric",103.124000,-85.852000,180.000000,top
"R14","300k","R_0603_1608Metric",144.272000,-116.586000,180.000000,top
"R15","30k","R_0603_1608Metric",144.272000,-123.063000,270.000000,top
"R16","3k","R_0603_1608Metric",157.099000,-121.920000,0.000000,top
"R17","300","R_0603_1608Metric",157.099000,-116.078000,0.000000,top
"R18","10k","R_0603_1608Metric",161.163000,-91.059000,180.000000,top
"R19","10k","R_0603_1608Metric",161.163000,-88.646000,0.000000,top
"R20","100k","R_0603_1608Metric",161.036000,-80.391000,180.000000,top
"R21","100k","R_0603_1608Metric",160.782000,-66.040000,180.000000,top
"R22","50k","R_0603_1608Metric",160.655000,-71.120000,180.000000,top
"R23","20k","R_0603_1608Metric",174.244000,-72.390000,0.000000,top
"R24","10k","R_0603_1608Metric",174.117000,-66.040000,0.000000,top
"R25","20k","R_0603_1608Metric",134.874000,-91.567000,180.000000,top
"R26","12k","R_0603_1608Metric",134.874000,-89.281000,180.000000,top
"R27","10k","R_0603_1608Metric",119.253000,-103.632000,180.000000,top
"R28","12k","R_0603_1608Metric",141.351000,-96.520000,180.000000,top
"R29","20k","R_0603_1608Metric",125.349000,-108.458000,180.000000,top
"R30","1k","R_0603_1608Metric",118.491000,-97.155000,0.000000,top
"R31","100","R_0603_1608Metric",114.681000,-97.155000,0.000000,top
"R32","4.7k","R_0603_1608Metric",96.774000,-121.285000,270.000000,top
"R33","20k","R_0603_1608Metric",100.457000,-111.252000,180.000000,top
"R34","12k","R_0603_1608Metric",100.457000,-109.220000,180.000000,top
"R35","4.7k","R_0603_1608Metric",98.806000,-121.285000,270.000000,top
"R36","12k","R_0603_1608Metric",106.553000,-115.951000,180.000000,top
"R37","1k","R_0603_1608Metric",103.759000,-100.203000,0.000000,top
"R38","100","R_0603_1608Metric",100.330000,-100.203000,0.000000,top
"U1","74HC138","SOIC-16_3.9x9.9mm_P1.27mm",65.278000,-111.506000,0.000000,top
"U3","DG411xY","SOIC-16_3.9x9.9mm_P1.27mm",145.542000,-72.644000,270.000000,top
"U4","DG411xY","SOIC-16_3.9x9.9mm_P1.27mm",167.640000,-104.902000,0.000000,top
"U5","DG411xY","SOIC-16_3.9x9.9mm_P1.27mm",167.259000,-69.215000,0.000000,top
"U7","DG411xY","SOIC-16_3.9x9.9mm_P1.27mm",150.749000,-119.126000,0.000000,top
"U8","DG411xY","SOIC-16_3.9x9.9mm_P1.27mm",125.222000,-119.126000,0.000000,top
"U9","TL072","SOIC-8_3.9x4.9mm_P1.27mm",150.876000,-104.394000,0.000000,top
"U10","REF33XX","SOT-23",86.868000,-68.199000,180.000000,top
"U11","OP07","SOIC-8_3.9x4.9mm_P1.27mm",127.254000,-78.359000,0.000000,top
"U12","OP07","SOIC-8_3.9x4.9mm_P1.27mm",103.505000,-66.802000,0.000000,top
"U13","OP07","SOIC-8_3.9x4.9mm_P1.27mm",127.127000,-67.183000,0.000000,top
"U14","OP07","SOIC-8_3.9x4.9mm_P1.27mm",103.251000,-81.153000,0.000000,top
"U15","OP07","SOIC-8_3.9x4.9mm_P1.27mm",167.640000,-91.694000,0.000000,top
"U16","OP07","SOIC-8_3.9x4.9mm_P1.27mm",167.640000,-81.026000,0.000000,top
"U17","OP07","SOIC-8_3.9x4.9mm_P1.27mm",141.224000,-92.202000,0.000000,top
"U18","OP07","SOIC-8_3.9x4.9mm_P1.27mm",125.476000,-104.267000,0.000000,top
"U19","74HC138","SOIC-16_3.9x9.9mm_P1.27mm",71.356000,-67.733000,270.000000,top
"U20","OP07","SOIC-8_3.9x4.9mm_P1.27mm",106.680000,-111.887000,0.000000,top
"U21","74HC138","SOIC-16_3.9x9.9mm_P1.27mm",83.058000,-111.760000,0.000000,top
