Designator,Mid X,Mid Y,Layer,Rotation
C1,100.584000,-103.505000,Top,0
C2,100.584000,-132.969000,Top,0
C3,112.776000,-103.378000,Top,0
C4,112.776000,-132.842000,Top,0
C5,122.682000,-103.505000,Top,0
C6,122.682000,-132.969000,Top,0
C7,134.874000,-103.378000,Top,0
C8,134.874000,-132.842000,Top,0
C9,112.776000,-104.902000,Top,0
C10,112.776000,-134.366000,Top,0
C11,134.874000,-104.902000,Top,0
C12,134.874000,-134.366000,Top,0
U1,106.680000,-104.140000,Top,0
U2,106.680000,-133.604000,Top,0
U3,128.778000,-104.140000,Top,0
U4,128.778000,-133.604000,Top,0
